"Downloaded on",02/27/2024,"22:09:49 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title
"H.R. 7544",https://www.congress.gov/bill/117th-congress/house-bill/7544,"117th Congress (2021-2022)","To provide a private right of action against the maker of any component of a ghost gun, and any person who facilitated a sale of the ghost gun, for injury or death resulting from the use of the ghost gun."
"H.Res. 437",https://www.congress.gov/bill/117th-congress/house-resolution/437,"117th Congress (2021-2022)","Expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month""."
"H.Res. 1144",https://www.congress.gov/bill/117th-congress/house-resolution/1144,"117th Congress (2021-2022)","Expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month""."
"S.Res. 242",https://www.congress.gov/bill/117th-congress/senate-resolution/242,"117th Congress (2021-2022)","A resolution expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month""."
"S.Res. 651",https://www.congress.gov/bill/117th-congress/senate-resolution/651,"117th Congress (2021-2022)","A resolution expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month""."
"H.R. 1454",https://www.congress.gov/bill/117th-congress/house-bill/1454,"117th Congress (2021-2022)","Ghost Guns Are Guns Act"
"H.R. 1006",https://www.congress.gov/bill/117th-congress/house-bill/1006,"117th Congress (2021-2022)","Gun Show Loophole Closing Act of 2021"
"H.R. 1560",https://www.congress.gov/bill/117th-congress/house-bill/1560,"117th Congress (2021-2022)","Resources for Victims of Gun Violence Act of 2021"
"H.R. 4423",https://www.congress.gov/bill/117th-congress/house-bill/4423,"117th Congress (2021-2022)","Gun Theft Prevention Act"
"S. 556",https://www.congress.gov/bill/117th-congress/senate-bill/556,"117th Congress (2021-2022)","Resources for Victims of Gun Violence Act of 2021"
"H.R. 3159",https://www.congress.gov/bill/117th-congress/house-bill/3159,"117th Congress (2021-2022)","Safer Neighborhoods Gun Buyback Act of 2021"
"H.Res. 1165",https://www.congress.gov/bill/117th-congress/house-resolution/1165,"117th Congress (2021-2022)","Declaring gun violence a public health crisis."
"H.R. 6575",https://www.congress.gov/bill/117th-congress/house-bill/6575,"117th Congress (2021-2022)","Protecting Americans from Gun Violence Act of 2022"
"H.R. 1576",https://www.congress.gov/bill/117th-congress/house-bill/1576,"117th Congress (2021-2022)","National Gun Violence Research Act"
"H.R. 9624",https://www.congress.gov/bill/117th-congress/house-bill/9624,"117th Congress (2021-2022)","Gun Violence Prevention and Community Safety Act of 2022"
"S. 5299",https://www.congress.gov/bill/117th-congress/senate-bill/5299,"117th Congress (2021-2022)","Gun Violence Prevention and Community Safety Act of 2022"
"H.R. 5273",https://www.congress.gov/bill/117th-congress/house-bill/5273,"117th Congress (2021-2022)","Gun Safety Board and Research Act"
"H.R. 9227",https://www.congress.gov/bill/117th-congress/house-bill/9227,"117th Congress (2021-2022)","Local Gun Violence Reduction Act"
"H.R. 2814",https://www.congress.gov/bill/117th-congress/house-bill/2814,"117th Congress (2021-2022)","Equal Access to Justice for Victims of Gun Violence Act of 2022"
"H.R. 2282",https://www.congress.gov/bill/117th-congress/house-bill/2282,"117th Congress (2021-2022)","Gun Records Restoration and Preservation Act"
"S. 974",https://www.congress.gov/bill/117th-congress/senate-bill/974,"117th Congress (2021-2022)","Gun Records Restoration and Preservation Act"
"H.R. 825",https://www.congress.gov/bill/117th-congress/house-bill/825,"117th Congress (2021-2022)","Gun Violence Prevention Research Act of 2021"
"S. 281",https://www.congress.gov/bill/117th-congress/senate-bill/281,"117th Congress (2021-2022)","Gun Violence Prevention Research Act of 2021"
"H.R. 8957",https://www.congress.gov/bill/117th-congress/house-bill/8957,"117th Congress (2021-2022)","Gun Violence Prevention and Safe Communities Act of 2022"
"H.R. 1007",https://www.congress.gov/bill/117th-congress/house-bill/1007,"117th Congress (2021-2022)","Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2021"
"S. 1338",https://www.congress.gov/bill/117th-congress/senate-bill/1338,"117th Congress (2021-2022)","Equal Access to Justice for Victims of Gun Violence Act"
"H.R. 6639",https://www.congress.gov/bill/117th-congress/house-bill/6639,"117th Congress (2021-2022)","Protect Children Through Safe Gun Ownership Act"
"H.R. 121",https://www.congress.gov/bill/117th-congress/house-bill/121,"117th Congress (2021-2022)","Gun Violence Reduction Resources Act of 2021"
"H.R. 2280",https://www.congress.gov/bill/117th-congress/house-bill/2280,"117th Congress (2021-2022)","Prevent Gun Trafficking Act"
"H.R. 137",https://www.congress.gov/bill/117th-congress/house-bill/137,"117th Congress (2021-2022)","Mental Health Access and Gun Violence Prevention Act of 2021"
"H.R. 4271",https://www.congress.gov/bill/117th-congress/house-bill/4271,"117th Congress (2021-2022)","Keeping Gun Dealers Honest Act of 2021"
"H.R. 167",https://www.congress.gov/bill/117th-congress/house-bill/167,"117th Congress (2021-2022)","To prohibit the transfer of a firearm at a gun show by a person who is not a federally licensed firearms dealer."
"S. 4238",https://www.congress.gov/bill/117th-congress/senate-bill/4238,"117th Congress (2021-2022)","Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2022"
"S. 2320",https://www.congress.gov/bill/117th-congress/senate-bill/2320,"117th Congress (2021-2022)","Keeping Gun Dealers Honest Act of 2021"
"H.R. 1642",https://www.congress.gov/bill/117th-congress/house-bill/1642,"117th Congress (2021-2022)","Prosecuting Gun Crimes Saves Lives Act"
"H.R. 5764",https://www.congress.gov/bill/117th-congress/house-bill/5764,"117th Congress (2021-2022)","Gun Violence Prevention Through Financial Intelligence Act"
"S. 3117",https://www.congress.gov/bill/117th-congress/senate-bill/3117,"117th Congress (2021-2022)","Gun Violence Prevention Through Financial Intelligence Act"
"H.R. 4225",https://www.congress.gov/bill/117th-congress/house-bill/4225,"117th Congress (2021-2022)","3D Printed Gun Safety Act of 2021"
"H.R. 5245",https://www.congress.gov/bill/117th-congress/house-bill/5245,"117th Congress (2021-2022)","Gun Trafficker Detection Act"
"S. 2319",https://www.congress.gov/bill/117th-congress/senate-bill/2319,"117th Congress (2021-2022)","3D Printed Gun Safety Act of 2021"
"H.R. 6717",https://www.congress.gov/bill/117th-congress/house-bill/6717,"117th Congress (2021-2022)","Preventing Pretrial Gun Purchases Act"
"H.R. 6370",https://www.congress.gov/bill/117th-congress/house-bill/6370,"117th Congress (2021-2022)","Safe Guns, Safe Kids Act"
"H.Res. 1478",https://www.congress.gov/bill/117th-congress/house-resolution/1478,"117th Congress (2021-2022)","Calling for the submission to the House of Representatives of certain information regarding the decision of the President of the United States to institute the ""Ghost Gun"" Rule."
"S. 4376",https://www.congress.gov/bill/117th-congress/senate-bill/4376,"117th Congress (2021-2022)","Stop Gun Criminals Act"
"H.R. 545",https://www.congress.gov/bill/117th-congress/house-bill/545,"117th Congress (2021-2022)","No Congressional Gun Loophole Act"
"H.R. 8278",https://www.congress.gov/bill/117th-congress/house-bill/8278,"117th Congress (2021-2022)","To direct the Attorney General to conduct a study on the efficacy of extreme risk protection orders on reducing gun violence, and for other purposes."
"H.R. 1827",https://www.congress.gov/bill/117th-congress/house-bill/1827,"117th Congress (2021-2022)","Gun Owner Registration Information Protection Act"
"S. 702",https://www.congress.gov/bill/117th-congress/senate-bill/702,"117th Congress (2021-2022)","Gun Owner Registration Information Protection Act"
"H.R. 7366",https://www.congress.gov/bill/117th-congress/house-bill/7366,"117th Congress (2021-2022)","No User Fees for Gun Owners Act"
"H.Res. 1192",https://www.congress.gov/bill/117th-congress/house-resolution/1192,"117th Congress (2021-2022)","Expressing support for the designation of June 21, 2022, as National ASK (Asking Saves Kids) Day to promote children's health and safe storage of guns in the home."
"H.R. 881",https://www.congress.gov/bill/117th-congress/house-bill/881,"117th Congress (2021-2022)","To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health."
"H.R. 125",https://www.congress.gov/bill/117th-congress/house-bill/125,"117th Congress (2021-2022)","Gun Safety: Not Sorry Act of 2021"
"H.R. 5436",https://www.congress.gov/bill/117th-congress/house-bill/5436,"117th Congress (2021-2022)","Gun Suicide Prevention Act"
"H.R. 7466",https://www.congress.gov/bill/117th-congress/house-bill/7466,"117th Congress (2021-2022)","Traveler's Gun Rights Act"
"S. 4029",https://www.congress.gov/bill/117th-congress/senate-bill/4029,"117th Congress (2021-2022)","Traveler's Gun Rights Act"
"H.R. 6950",https://www.congress.gov/bill/117th-congress/house-bill/6950,"117th Congress (2021-2022)","No Gun Lists Act of 2022"
"S. 1155",https://www.congress.gov/bill/117th-congress/senate-bill/1155,"117th Congress (2021-2022)","Virginia Plan to Reduce Gun Violence Act of 2021"
"H.Res. 1479",https://www.congress.gov/bill/117th-congress/house-resolution/1479,"117th Congress (2021-2022)","Of inquiry requesting the President transmit certain documents in his possession to the House of Representatives relating to the surveillance or monitoring of pro-gun, pro-life, or conservative groups under the Internet Covert Operations Program operated by the United States Postal Inspection Service."
"H.R. 1132",https://www.congress.gov/bill/117th-congress/house-bill/1132,"117th Congress (2021-2022)","Gun Owner Privacy Act"
"H.R. 9001",https://www.congress.gov/bill/117th-congress/house-bill/9001,"117th Congress (2021-2022)","Reduce Gun Violence Act of 2022"
"S. 4149",https://www.congress.gov/bill/117th-congress/senate-bill/4149,"117th Congress (2021-2022)","Preventing Pretrial Gun Purchases Act"
"H.R. 3536",https://www.congress.gov/bill/117th-congress/house-bill/3536,"117th Congress (2021-2022)","Crime Gun Tracing Modernization Act of 2021"
"S. 1801",https://www.congress.gov/bill/117th-congress/senate-bill/1801,"117th Congress (2021-2022)","Crime Gun Tracing Modernization Act of 2021"
"H.R. 7493",https://www.congress.gov/bill/117th-congress/house-bill/7493,"117th Congress (2021-2022)","Protecting Gun Owners in Bankruptcy Act of 2022"
"H.R. 8534",https://www.congress.gov/bill/117th-congress/house-bill/8534,"117th Congress (2021-2022)","Responsible Gun Ownership Licensing Act"
"H.R. 5878",https://www.congress.gov/bill/117th-congress/house-bill/5878,"117th Congress (2021-2022)","End Gun Violence Act of 2021"
"H.R. 6817",https://www.congress.gov/bill/117th-congress/house-bill/6817,"117th Congress (2021-2022)","No Backdoor Gun Control Act of 2022"
"H.R. 3509",https://www.congress.gov/bill/117th-congress/house-bill/3509,"117th Congress (2021-2022)","Safe Gun Storage Act of 2021"
"S. 1825",https://www.congress.gov/bill/117th-congress/senate-bill/1825,"117th Congress (2021-2022)","Safe Gun Storage Act of 2021"
"H.R. 4804",https://www.congress.gov/bill/117th-congress/house-bill/4804,"117th Congress (2021-2022)","Unlawful Gun Buyer Alert Act"
"H.R. 882",https://www.congress.gov/bill/117th-congress/house-bill/882,"117th Congress (2021-2022)","Keeping Guns from High-Risk Individuals Act"
"H.Res. 1153",https://www.congress.gov/bill/117th-congress/house-resolution/1153,"117th Congress (2021-2022)","Providing for consideration of the bill (H.R. 2377) to authorize the issuance of extreme risk protection orders; providing for consideration of the bill (H.R. 7910) to amend title 18, United States Code, to provide for an increased age limit on the purchase of certain firearms, prevent gun trafficking, modernize the prohibition on untraceable firearms, encourage the safe storage of firearms, and for other purposes; and for other purposes."
"H.R. 6945",https://www.congress.gov/bill/117th-congress/house-bill/6945,"117th Congress (2021-2022)","No Retaining Every Gun In a System That Restricts Your Rights Act"
"H.R. 30",https://www.congress.gov/bill/117th-congress/house-bill/30,"117th Congress (2021-2022)","Gun Trafficking Prohibition Act"
"H.R. 1441",https://www.congress.gov/bill/117th-congress/house-bill/1441,"117th Congress (2021-2022)","No Guns for Abusers Act of 2021"
