Date of Introduction,Sentiment Score
1989-01-25,0.9845
1989-02-02,-0.8648
1989-03-09,0.9963
1989-04-11,0.9474
1989-05-24,0.9739
1989-06-15,1.0
1989-06-21,-1.0
1989-06-22,-1.0
1989-07-18,0.9349
1989-07-19,1.0
1989-07-27,0.9332
1989-07-31,1.0
1989-08-03,-1.0
1989-10-24,-0.9998
1989-11-20,0.9279
1989-11-21,-1.0
1990-02-05,0.9632
1990-03-21,-0.9926
1990-04-05,1.0
1990-04-26,1.0
1990-05-22,0.8507
1990-06-05,0.8926
1990-06-13,0.9806
1990-07-13,-0.9962
1990-07-20,1.0
1990-07-25,1.0
1990-10-11,1.0
1991-01-03,0.8926
1991-01-07,-0.9926
1991-01-23,-0.9692
1991-01-31,0.9999
1991-03-07,0.9845
1991-03-12,-1.0
1991-03-13,-1.0
1991-04-23,0.9561
1991-05-23,-1.0
1991-06-06,-1.0
1991-06-11,-0.959
1991-06-20,-1.0
1991-07-19,1.0
1991-07-22,1.0
1991-07-23,0.7717
1991-07-25,-0.9998
1991-08-02,0.6908
1991-09-23,-0.9972
1991-10-03,1.0
1992-02-07,0.6486
1992-02-26,0.9901
1992-03-03,-1.0
1992-04-01,0.9578
1992-04-09,0.3109
1992-06-22,0.9999
1992-06-30,-0.9964
1992-07-31,1.0
1992-08-06,1.0
1992-08-07,-0.9998
1992-08-10,1.0
1992-08-12,0.9998
1992-09-28,-0.9972
1993-01-05,-0.979
1993-01-21,-1.0
1993-01-27,0.91
1993-02-18,-0.9147
1993-02-23,0.9998
1993-02-24,0.9545
1993-03-04,-1.0
1993-03-25,0.9713
1993-04-29,0.5423
1993-05-04,0.7672
1993-05-05,-0.9953
1993-05-12,-0.9971
1993-05-20,-1.0
1993-05-26,0.7672
1993-05-27,-1.0
1993-06-15,-0.9732
1993-06-17,-0.998
1993-06-23,1.0
1993-07-01,0.11
1993-08-03,-1.0
1993-08-04,-1.0
1993-08-06,0.9997
1993-09-21,-0.9974
1993-09-23,-1.0
1993-10-04,1.0
1993-10-12,0.9393
1993-10-19,-0.9999
1993-10-25,-0.9966
1993-10-27,-0.9962
1993-10-28,0.8869
1993-11-01,-1.0
1993-11-03,0.9852
1993-11-16,-0.9983
1993-11-17,0.996
1993-11-18,0.9995
1993-11-20,-0.9334
1993-11-22,-0.645
1994-01-25,-0.9998
1994-01-26,0.999
1994-02-02,0.8126
1994-02-07,0.9995
1994-02-09,-0.9539
1994-02-28,0.9996
1994-03-01,0.99
1994-03-10,-0.9941
1994-03-15,-1.0
1994-03-16,0.998
1994-03-17,-0.9905
1994-03-18,-1.0
1994-04-13,-1.0
1994-04-18,0.6081
1994-04-19,-0.9694
1994-04-25,0.9758
1994-04-26,1.0
1994-04-28,1.0
1994-05-03,0.411
1994-05-12,0.9929
1994-06-20,1.0
1994-07-01,-0.2808
1994-07-28,-1.0
1994-08-04,0.91
1994-08-21,-1.0
1994-09-13,-0.9597
1994-09-20,-0.9397
1994-09-29,-0.9981
1994-09-30,-0.5423
1994-10-07,0.9762
1995-01-04,0.9929
1995-01-24,0.1779
1995-01-30,-0.9996
1995-02-02,-0.9597
1995-02-13,-1.0
1995-02-16,-0.9998
1995-03-24,-0.9936
1995-03-27,-0.9936
1995-04-07,-0.9999
1995-05-02,1.0
1995-05-03,0.0
1995-05-09,-0.9952
1995-05-10,0.875
1995-05-16,0.9985
1995-05-17,-0.9999
1995-05-18,-0.5093
1995-06-07,-0.9747
1995-07-12,1.0
1995-07-31,0.9606
1995-08-02,-0.7823
1995-09-25,-0.9728
1995-10-11,0.5746
1995-11-02,-0.9952
1996-01-23,0.9586
1996-01-26,0.1779
1996-02-28,-0.9878
1996-02-29,-0.9759
1996-03-05,0.979
1996-03-13,-0.9468
1996-03-14,-0.9996
1996-03-28,-0.9274
1996-04-15,0.9999
1996-04-16,1.0
1996-04-18,-0.9912
1996-04-24,1.0
1996-05-01,-0.9995
1996-05-10,-0.9994
1996-05-16,-0.595
1996-06-04,-0.9999
1996-06-10,-1.0
1996-06-13,-0.9274
1996-06-20,1.0
1996-07-08,1.0
1996-07-22,-0.5574
1996-07-24,-0.916
1996-07-25,-0.9995
1996-08-02,-0.9995
1996-09-10,0.7152
1996-09-12,0.9795
1996-09-24,1.0
1996-09-25,-0.9978
1996-09-26,-0.9882
1996-09-27,0.8852
1996-09-28,1.0
1997-01-07,0.9708
1997-01-09,-0.9994
1997-01-21,-1.0
1997-01-22,-0.9963
1997-02-12,0.9504
1997-02-13,0.91
1997-02-25,-1.0
1997-02-26,-1.0
1997-03-11,-0.9975
1997-03-12,0.9623
1997-03-17,1.0
1997-03-18,0.9496
1997-03-19,1.0
1997-03-20,-0.9903
1997-04-09,0.9826
1997-04-17,-0.9992
1997-04-25,-0.995
1997-05-06,-0.5574
1997-05-08,0.4936
1997-05-19,-0.9904
1997-05-22,1.0
1997-06-03,1.0
1997-06-17,0.8668
1997-06-19,0.979
1997-07-07,0.9357
1997-07-16,1.0
1997-07-17,0.9972
1997-07-24,1.0
1997-07-25,1.0
1997-07-31,-0.9995
1997-08-06,1.0
1997-09-11,0.9999
1997-10-09,1.0
1997-10-23,0.7126
1997-10-24,0.9906
1997-10-29,-0.8762
1997-11-06,-0.9833
1997-11-08,0.9981
1997-11-09,0.9398
1997-11-13,0.9965
1998-01-29,1.0
1998-04-01,1.0
1998-04-02,0.9739
1998-05-11,1.0
1998-05-12,-0.9643
1998-05-13,0.9973
1998-05-19,0.9994
1998-05-22,0.9906
1998-06-02,0.8225
1998-06-12,-0.7213
1998-06-17,0.9992
1998-06-22,1.0
1998-06-25,-0.7213
1998-07-02,1.0
1998-07-06,1.0
1998-07-15,1.0
1998-07-16,0.8302
1998-07-20,1.0
1998-07-21,0.9559
1998-07-24,1.0
1998-07-31,-0.8733
1998-08-06,0.9739
1998-09-08,1.0
1998-09-16,-1.0
1998-09-29,-0.9777
1998-10-01,-0.1449
1998-10-02,-0.1449
1998-10-12,-0.5059
1999-01-06,0.5106
1999-01-19,0.9993
1999-01-20,-0.9652
1999-01-28,0.9814
1999-02-03,-0.9942
1999-02-10,0.8636
1999-02-11,-0.9992
1999-02-23,-0.9993
1999-02-24,1.0
1999-03-02,-0.9993
1999-03-04,-1.0
1999-03-08,-0.9991
1999-03-09,0.7706
1999-03-11,-0.9991
1999-03-16,0.8442
1999-03-17,0.9255
1999-03-18,0.7126
1999-03-23,0.9999
1999-03-24,0.8442
1999-03-25,-0.9991
1999-04-14,1.0
1999-04-21,-0.9978
1999-04-22,-0.9864
1999-04-27,0.6412
1999-04-28,-1.0
1999-05-03,0.7763
1999-05-04,0.9672
1999-05-05,-0.128
1999-05-06,0.9979
1999-05-10,-0.9985
1999-05-11,-0.9999
1999-05-12,-0.9999
1999-05-17,1.0
1999-05-19,-0.9954
1999-05-20,-0.9935
1999-05-25,1.0
1999-05-26,-0.128
1999-05-27,1.0
1999-06-07,0.9876
1999-06-08,-1.0
1999-06-09,0.9648
1999-06-10,-0.9824
1999-06-16,-0.8674
1999-06-24,1.0
1999-06-30,-0.9984
1999-07-01,0.9728
1999-07-13,1.0
1999-07-20,1.0
1999-07-21,-0.8818
1999-07-26,0.9908
1999-07-29,0.9993
1999-09-08,0.9676
1999-09-28,1.0
1999-10-05,-0.9001
1999-10-07,1.0
1999-10-12,-0.9954
1999-10-13,1.0
1999-10-21,-0.9935
1999-10-25,-0.9935
1999-11-02,1.0
1999-11-08,0.9493
1999-11-09,-0.9997
1999-11-10,-0.9904
1999-11-17,1.0
1999-11-18,0.9999
2000-02-24,0.8872
2000-03-09,0.9991
2000-03-15,-0.9976
2000-03-16,-0.9975
2000-03-20,1.0
2000-03-21,-0.8934
2000-03-22,0.979
2000-03-29,-0.9956
2000-03-30,1.0
2000-03-31,0.9999
2000-04-03,-0.7066
2000-04-04,0.9999
2000-04-06,1.0
2000-04-10,0.516
2000-04-25,0.7264
2000-04-27,1.0
2000-05-02,1.0
2000-05-08,-0.9918
2000-05-09,0.9999
2000-05-10,0.9999
2000-05-11,-0.9998
2000-05-12,1.0
2000-05-15,0.9965
2000-06-01,1.0
2000-06-09,0.4939
2000-06-12,1.0
2000-06-21,0.807
2000-06-26,-1.0
2000-06-28,0.9957
2000-07-10,-0.3357
2000-07-20,1.0
2000-07-25,1.0
2000-07-27,-0.9563
2000-09-06,0.9974
2000-09-07,-0.9914
2000-09-12,0.9022
2000-09-13,0.9454
2000-09-14,1.0
2000-09-18,-0.9517
2000-09-20,0.9975
2000-10-10,-0.9968
2000-10-12,0.9989
2000-10-25,1.0
2000-12-14,1.0
2001-01-03,0.7706
2001-01-22,-1.0
2001-01-23,0.0772
2001-01-30,0.9975
2001-01-31,1.0
2001-02-06,-0.7066
2001-02-07,0.9961
2001-02-14,-0.9413
2001-02-27,0.8636
2001-02-28,0.9962
2001-03-01,-0.9996
2001-03-06,0.9995
2001-03-08,0.9993
2001-03-09,-0.9471
2001-03-13,0.8636
2001-03-14,-0.9937
2001-03-20,-0.8594
2001-03-22,1.0
2001-03-26,-0.9666
2001-03-27,-0.711
2001-03-28,1.0
2001-03-29,-0.7506
2001-04-04,-0.9981
2001-04-24,-0.997
2001-05-08,0.7126
2001-05-15,0.9896
2001-05-17,0.4883
2001-05-22,-0.9992
2001-05-23,1.0
2001-05-24,1.0
2001-05-25,0.9953
2001-06-06,1.0
2001-06-18,0.902
2001-06-19,1.0
2001-06-28,0.9996
2001-07-11,0.9987
2001-07-13,1.0
2001-07-17,-0.9592
2001-07-20,0.5267
2001-07-26,-0.9891
2001-08-02,-0.4215
2001-08-03,-0.8858
2001-09-20,0.7475
2001-10-09,1.0
2001-10-11,1.0
2001-10-16,0.9853
2001-10-23,0.9894
2001-10-30,-0.9749
2001-11-07,0.9828
2001-12-04,0.9948
2001-12-06,0.9366
2001-12-07,0.765
2001-12-13,0.9992
2001-12-20,-0.9969
2002-01-29,0.4939
2002-02-05,0.5106
2002-03-20,-0.9968
2002-04-09,0.9963
2002-04-11,-0.9963
2002-04-12,0.2023
2002-04-18,0.9932
2002-04-23,1.0
