Classification,Sentiment Scores
control,0.9632
control,0.9279
control,0.8926
control,0.9349
control,0.9806
control,0.9963
control,-0.9926
control,0.8507
control,-0.9893
control,-1.0
control,-0.8648
control,0.9845
control,0.9474
control,0.9739
control,-1.0
control,-0.9962
control,-1.0
control,-1.0
control,-0.9998
control,1.0
control,0.9332
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,0.6908
control,0.9561
control,0.9901
control,-0.9998
control,-0.959
control,-0.9692
control,-0.9972
control,-0.9726
control,0.9971
control,-0.9964
control,-1.0
control,-0.9926
control,-1.0
control,-0.9826
control,-0.9998
control,-0.9961
control,0.9845
control,0.9999
control,0.9998
control,0.3109
control,1.0
control,-1.0
control,-1.0
control,1.0
control,0.9999
control,1.0
control,1.0
control,-1.0
control,-0.9972
control,1.0
control,-1.0
control,-1.0
control,1.0
control,0.8613
control,0.8613
control,-0.5423
control,-0.9998
control,0.8126
control,0.9996
control,-0.9147
control,0.9996
control,0.5423
control,0.9393
control,0.99
control,-0.9732
control,-0.2808
control,0.6081
control,0.981
control,-0.9941
control,-0.9986
control,-0.645
control,-0.8987
control,-0.9397
control,0.8869
control,0.91
control,0.7672
control,-0.9971
control,0.7672
control,0.999
control,0.411
control,-0.9905
control,-0.9953
control,-0.9905
control,-0.9966
control,-0.9951
control,-0.9941
control,-0.9999
control,-0.9981
control,0.9758
control,0.996
control,0.9762
control,-0.9694
control,-1.0
control,-0.9539
control,0.9852
control,-0.9974
control,-0.979
control,-0.9962
control,-1.0
control,0.998
control,0.91
control,0.11
control,0.9545
control,-0.9334
control,0.9929
control,-1.0
control,-0.988
control,-0.9983
control,-0.9973
control,-1.0
control,-0.9995
control,0.9713
control,-0.998
control,-1.0
control,-1.0
control,0.9998
control,-1.0
control,-1.0
control,-1.0
control,1.0
control,-1.0
control,-1.0
control,0.9995
control,0.9995
control,0.9997
control,-1.0
control,-1.0
control,-1.0
control,-1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9274
control,-0.9274
control,-0.9747
control,-0.916
control,0.875
control,-0.7823
control,-0.9996
control,0.0
control,-0.595
control,-0.9759
control,-0.9986
control,-0.9882
control,-0.9996
control,-0.9995
control,0.7152
control,0.9795
control,0.8852
control,-0.9994
control,0.9586
control,-0.9905
control,-0.9936
control,-0.9936
control,-0.9971
control,0.91
control,0.9708
control,-0.9952
control,-0.5574
control,-1.0
control,-1.0
control,-0.5093
control,-0.9912
control,0.9929
control,0.9972
control,-0.9952
control,1.0
control,-0.9878
control,0.979
control,0.9999
control,-0.9996
control,1.0
control,1.0
control,-1.0
control,1.0
control,-0.9999
control,1.0
control,1.0
control,1.0
control,1.0
control,-0.9978
control,-0.9995
control,-0.9995
control,-0.9468
control,-0.9998
control,-0.9999
control,0.9657
control,0.9559
control,-0.9777
control,-0.9643
control,-0.9643
control,-0.9869
control,-0.8733
control,-0.8762
control,0.9496
control,0.8668
control,0.8668
control,0.9992
control,0.0
control,0.9992
control,-0.2505
control,0.4936
control,-0.995
control,-0.995
control,-0.9963
control,-0.9989
control,-0.7213
control,-0.7213
control,-0.9143
control,-0.9904
control,-0.9143
control,0.9504
control,0.9357
control,0.9739
control,0.9739
control,-0.9903
control,-0.9994
control,-1.0
control,-1.0
control,0.8302
control,-0.4767
control,-0.9971
control,-0.9999
control,-1.0
control,0.91
control,0.584
control,0.9563
control,-0.5574
control,-0.5059
control,-1.0
control,-1.0
control,0.9623
control,0.9623
control,0.9826
control,0.9981
control,0.9981
control,-0.9952
control,0.9981
control,0.9998
control,0.9994
control,-0.9999
control,0.979
control,1.0
control,-0.9723
control,0.9973
control,0.9999
control,1.0
control,1.0
control,1.0
control,1.0
