Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 2122,106,06/10/1999,Republican,control,-0.9996,-0.0051137696457893515
H.R. 3987,106,03/15/2000,Democratic,control,-0.9976,0.036966490299823636
H.R. 3255,106,11/08/1999,Democratic,control,0.9676,0.04930555555555554
H.R. 2813,106,09/08/1999,Democratic,control,0.9676,0.04930555555555554
H.R. 724,106,02/11/1999,Democratic,control,0.9686,-0.005314009661835749
H.R. 4456,106,05/15/2000,Democratic,control,0.9965,0.021875000000000006
S. 735,106,03/25/1999,Democratic,control,0.9612,0.026823904435511584
H.R. 902,106,03/02/1999,Democratic,control,-0.9993,0.013055766073007447
H.R. 1903,106,05/20/1999,Democratic,control,-0.9968,0.013522720095995958
S. 443,106,02/23/1999,Democratic,control,-0.9993,0.013055766073007447
H.R. 109,106,01/06/1999,Democratic,control,-0.9643,-0.0005747126436781628
H.R. 35,106,01/06/1999,Democratic,control,0.5106,0.1275
H.R. 4009,106,03/16/2000,Democratic,control,-0.9964,0.0676038804945055
H.R. 1086,106,03/11/1999,Democratic,control,-0.9991,0.00011904761904761331
S. 560,106,03/08/1999,Democratic,control,-0.9991,0.00011904761904761331
S.Res. 158,106,07/21/1999,Democratic,control,-0.8818,0.0787929292929293
S.Res. 345,106,07/27/2000,Democratic,control,-0.3274,0.07762626262626264
H.R. 1342,106,03/25/1999,Democratic,control,0.9953,0.02687815113266921
H.Res. 193,106,05/26/1999,Democratic,control,-0.128,0.04791666666666668
S. 407,106,02/10/1999,Democratic,control,0.8636,0.07234432234432232
H.R. 1768,106,05/12/1999,Democratic,control,-0.9999,0.005050185758017087
H.R. 5472,106,10/12/2000,Democratic,control,0.9936,0.043206982664813987
H.R. 2443,106,07/01/1999,Democratic,control,-0.9984,0.07060448232323234
S. 995,106,05/11/1999,Democratic,control,-0.9999,0.004081970713581306
S. 3043,106,09/13/2000,Democratic,control,0.9454,0.022678571428571437
S. 1306,106,06/30/1999,Democratic,control,-0.9984,0.07152608559825056
S. 3192,106,10/12/2000,Democratic,control,-0.9666,-0.012950937950937947
H.R. 5194,106,09/18/2000,Democratic,control,-0.9517,-0.16333333333333336
H.R. 2081,106,06/08/1999,Democratic,control,-0.9592,0.020512820512820527
H.R. 4151,106,04/03/2000,Democratic,control,0.9903,0.11868686868686867
H.R. 735,106,02/11/1999,Republican,control,0.0,0.05181818181818183
H.R. 5148,106,09/12/2000,Democratic,control,0.9022,-0.0309090909090909
H.R. 3139,106,10/25/1999,Democratic,control,0.9987,0.052769578905942534
S. 891,106,04/27/1999,Democratic,control,-0.986,0.17386904761904765
H.R. 2048,106,06/08/1999,Democratic,control,-0.986,0.17386904761904765
H.R. 3057,106,10/12/1999,Democratic,control,-0.9954,-0.04583333333333334
S. 1080,106,05/19/1999,Democratic,control,-0.9954,-0.04583333333333334
H.R. 1245,106,03/24/1999,Democratic,control,0.8442,-0.005555555555555554
S. 637,106,03/16/1999,Democratic,control,0.8442,-0.005555555555555554
H.R. 4220,106,04/10/2000,Republican,control,0.516,0.13285714285714284
S. 1101,106,05/20/1999,Democratic,control,-0.9935,-0.010156249999999999
H.Res. 209,106,06/16/1999,Republican,control,-0.8674,0.012203557312252967
H.R. 4150,106,04/03/2000,Democratic,control,-0.7066,0.09473128497518742
S.Res. 374,106,10/12/2000,Democratic,control,0.7475,0.14146903820816864
H.R. 1723,106,05/06/1999,Democratic,control,-0.7213,0.0826923076923077
H.R. 2008,106,06/07/1999,Democratic,control,-0.9666,-0.022959183673469392
S.Res. 276,106,03/21/2000,Democratic,control,-0.8934,-0.3541666666666667
H.R. 2007,106,06/07/1999,Democratic,control,-0.9921,0.07678571428571428
H.R. 5012,106,07/27/2000,Republican,control,0.9983,0.038072846693536354
S. 44,106,01/19/1999,Republican,control,-0.9904,-0.021753602756892226
H.R. 1233,106,03/23/1999,Democratic,control,-0.9958,0.035119047619047626
S. 686,106,03/23/1999,Democratic,control,-0.9958,0.035119047619047626
S. 2338,106,03/30/2000,Democratic,control,0.9883,0.013930641821946149
H.R. 2127,106,06/10/1999,Democratic,control,-0.9471,0.03438425609478241
S. 1774,106,10/25/1999,Democratic,control,-0.9471,0.0451650432900433
H.R. 4066,106,03/22/2000,Democratic,control,-0.9752,0.010032467532467523
H.R. 1726,106,05/06/1999,Democratic,control,0.9979,0.07754577227054289
S. 969,106,05/05/1999,Republican,control,-0.813,0.15340367965367968
