Name,Session,Date of Introduction,Party of Sponsors,Classification
H.Res. 391,116,05/21/2019,Democratic,control
H.Res. 977,116,05/22/2020,Democratic,control
H.Res. 993,116,06/04/2020,Democratic,control
S.Res. 592,116,05/20/2020,Democratic,control
H.R. 1266,116,02/14/2019,Democratic,control
S.Res. 217,116,05/21/2019,Democratic,control
H.R. 820,116,01/28/2019,Democratic,control
H.R. 2585,116,05/08/2019,Democratic,control
S. 1352,116,05/07/2019,Democratic,control
H.R. 2674,116,05/10/2019,Democratic,control
H.R. 1279,116,02/14/2019,Democratic,control
H.R. 2303,116,04/12/2019,Democratic,control
H.R. 435,116,01/10/2019,Democratic,control
H.R. 4177,116,08/09/2019,Democratic,control
H.R. 4730,116,10/17/2019,Democratic,control
S. 184,116,01/17/2019,Democratic,control
H.R. 674,116,01/17/2019,Democratic,control
H.R. 1670,116,03/11/2019,Democratic,control
S. 730,116,03/07/2019,Democratic,control
H.R. 3214,116,06/11/2019,Democratic,control
H.R. 4116,116,07/30/2019,Democratic,control
H.R. 4784,116,10/22/2019,Democratic,control
H.R. 167,116,01/03/2019,Democratic,control
H.R. 3234,116,06/12/2019,Democratic,control
S. 1795,116,06/12/2019,Democratic,control
H.R. 5917,116,02/14/2020,Democratic,control
S. 459,116,02/12/2019,Democratic,control
H.R. 971,116,02/05/2019,Democratic,control
H.R. 5132,116,11/15/2019,Democratic,control
H.R. 3265,116,06/13/2019,Democratic,control
S. 1831,116,06/13/2019,Democratic,control
S. 1779,116,06/11/2019,Democratic,control
H.R. 5866,116,02/12/2020,Democratic,control
H.R. 9053,116,12/28/2020,Democratic,control
H.Con.Res. 46,116,06/04/2019,Democratic,control
H.R. 1114,116,02/08/2019,Democratic,control
H.R. 4271,116,09/10/2019,Democratic,control
S. 4271,116,07/22/2020,Democratic,control
H.R. 157,116,01/03/2019,Democratic,control
H.R. 2364,116,04/25/2019,Democratic,control
H.R. 6006,116,02/27/2020,Democratic,control
S. 3348,116,02/27/2020,Democratic,control
H.R. 8821,116,11/27/2020,Democratic,control
H.R. 7468,116,07/01/2020,Democratic,control
H.R. 4691,116,10/16/2019,Democratic,control
S. 3065,116,12/17/2019,Democratic,control
H.R. 1745,116,03/13/2019,Democratic,control
H.R. 3552,116,06/27/2019,Democratic,control
H.R. 1116,116,02/08/2019,Democratic,control
H.R. 33,116,01/03/2019,Democratic,control
H.Res. 231,116,03/14/2019,Democratic,control
H.R. 1287,116,02/14/2019,Democratic,control
S.Res. 110,116,03/14/2019,Democratic,control
H.R. 659,116,01/17/2019,Democratic,control
H.R. 2621,116,05/09/2019,Democratic,control
H.R. 942,116,01/31/2019,Democratic,control
S. 1884,116,06/18/2019,Democratic,control
H.R. 2179,116,04/09/2019,Democratic,control
S. 3743,116,05/14/2020,Democratic,control
H.R. 3553,116,06/27/2019,Democratic,control
H.R. 282,116,01/08/2019,Democratic,control
H.R. 7977,116,08/07/2020,Democratic,control
S. 193,116,01/18/2019,Democratic,control
H.R. 2867,116,05/21/2019,Democratic,control
H.R. 3435,116,06/24/2019,Democratic,control
S. 2671,116,10/23/2019,Democratic,control
H.R. 569,116,01/15/2019,Democratic,control
H.R. 4836,116,10/23/2019,Democratic,control
H.R. 4199,116,08/20/2019,Democratic,control
S. 120,116,01/15/2019,Democratic,control
H.R. 8869,116,12/03/2020,Democratic,control
S. 4956,116,12/03/2020,Democratic,control
H.R. 8,116,01/08/2019,Democratic,control
H.R. 930,116,01/30/2019,Democratic,control
H.R. 8822,116,11/27/2020,Democratic,control
S. 4841,116,10/21/2020,Democratic,control
H.Res. 1075,116,07/31/2020,Democratic,control
H.R. 2634,116,05/09/2019,Democratic,control
H.R. 4080,116,07/26/2019,Democratic,control
H.R. 4082,116,07/26/2019,Democratic,control
S. 4068,116,06/25/2020,Democratic,control
H.R. 822,116,01/28/2019,Democratic,control
H.R. 49,116,01/03/2019,Democratic,control
H.R. 1262,116,02/14/2019,Democratic,control
S. 3299,116,02/13/2020,Democratic,control
S. 42,116,01/08/2019,Democratic,control
H.R. 4324,116,09/12/2019,Democratic,control
H.Res. 611,116,10/01/2019,Democratic,control
H.R. 1112,116,02/08/2019,Democratic,control
H.Res. 437,116,06/11/2019,Democratic,control
H.R. 4301,116,09/12/2019,Democratic,control
S. 2710,116,10/24/2019,Democratic,control
S. 320,116,02/04/2019,Democratic,control
H.R. 939,116,01/31/2019,Democratic,control
S.Res. 89,116,02/28/2019,Democratic,control
H.Res. 162,116,02/28/2019,Democratic,control
H.R. 8823,116,11/27/2020,Democratic,control
H.R. 717,116,01/23/2019,Democratic,control
H.R. 1111,116,02/08/2019,Democratic,control
H.R. 719,116,01/23/2019,Democratic,control
S. 2822,116,11/07/2019,Democratic,control
H.R. 8631,116,10/20/2020,Democratic,control
H.R. 3420,116,06/21/2019,Democratic,control
H.Res. 702,116,11/14/2019,Democratic,control
H.R. 3285,116,06/13/2019,Democratic,control
H.R. 3599,116,06/28/2019,Democratic,control
H.R. 4255,116,09/09/2019,Democratic,control
H.Res. 555,116,09/12/2019,Democratic,control
H.R. 4062,116,07/25/2019,Democratic,control
S. 2272,116,07/25/2019,Democratic,control
S. 1395,116,05/09/2019,Democratic,control
S. 2355,116,07/31/2019,Democratic,control
H.R. 4339,116,09/16/2019,Democratic,control
S. 4936,116,12/01/2020,Democratic,control
H.R. 8460,116,09/30/2020,Democratic,control
S. 2398,116,07/31/2019,Democratic,control
S. 2396,116,07/31/2019,Democratic,control
H.R. 5836,116,02/10/2020,Republican,control
S. 7,116,01/03/2019,Republican,control
S. 1519,116,05/16/2019,Republican,control
H.R. 4939,116,10/31/2019,Republican,control
H.R. 5716,116,01/30/2020,Republican,control
H.R. 1339,116,02/25/2019,Republican,control
S.J.Res. 24,116,05/14/2019,Republican,control
S.Res. 367,116,10/21/2019,Republican,control
H.R. 743,116,01/24/2019,Republican,control
H.R. 744,116,01/24/2019,Republican,control
S.J.Res. 23,116,05/14/2019,Republican,control
S. 2554,116,09/26/2019,Republican,control
H.R. 1192,116,02/13/2019,Republican,control
S. 2530,116,09/23/2019,Republican,control
H.R. 6318,116,03/23/2020,Democratic,control
S. 66,116,01/09/2019,Democratic,control
H.R. 1296,116,02/15/2019,Democratic,control
H.R. 2959,116,05/23/2019,Democratic,control
S. 627,116,02/28/2019,Democratic,control
H.R. 1468,116,02/28/2019,Democratic,control
S. 3912,116,06/08/2020,Democratic,control
H.R. 7120,116,06/08/2020,Democratic,control
H.R. 574,116,01/15/2019,Republican,control
S. 2584,116,09/26/2019,Republican,control
H.R. 5717,116,01/30/2020,Democratic,control
S. 3254,116,02/05/2020,Democratic,control
H.R. 1585,116,03/07/2019,Democratic,control
S. 2843,116,11/13/2019,Democratic,control
H.R. 7614,116,07/15/2020,Democratic,control
H.R. 8352,116,09/23/2020,Democratic,control
S. 4819,116,10/20/2020,Democratic,control
H.R. 6637,116,04/28/2020,Democratic,control
H.R. 2500,116,05/02/2019,Democratic,control
H.R. 6395,116,03/26/2020,Democratic,control
H.R. 1865,116,03/25/2019,Democratic,control
H.R. 7617,116,07/16/2020,Democratic,control
H.R. 648,116,01/17/2019,Democratic,control
H.R. 21,116,01/03/2019,Democratic,control
H.J.Res. 31,116,01/22/2019,Democratic,control
H.R. 133,116,01/03/2019,Democratic,control
S. 1790,116,06/11/2019,Republican,control
H.R. 1158,116,02/13/2019,Republican,control
H.R. 4789,116,10/22/2019,Democratic,rights
H.R. 7347,116,06/25/2020,Democratic,rights
H.R. 5549,116,01/07/2020,Democratic,rights
S. 4070,116,06/25/2020,Democratic,rights
S. 3164,116,01/08/2020,Democratic,rights
H.R. 3467,116,06/25/2019,Democratic,rights
S.Res. 170,116,04/11/2019,Democratic,rights
H.Res. 375,116,05/10/2019,Democratic,rights
H.R. 3055,116,06/03/2019,Democratic,rights
H.R. 1761,116,03/14/2019,Republican,rights
S. 351,116,02/06/2019,Republican,rights
S. 4040,116,06/23/2020,Republican,rights
H.R. 1726,116,03/13/2019,Republican,rights
S.Con.Res. 40,116,06/23/2020,Republican,rights
H.R. 3200,116,06/11/2019,Republican,rights
