Name,Session,Date of Introduction,Party of Sponsors,Classification,VADER Sentiment Score,TextBlob Sentiment Score
H.R. 7544,117,04/18/2022,Democratic,control,-0.9969,0.06711822660098524
H.Res. 437,117,05/25/2021,Democratic,control,-0.9989,0.045416666666666654
H.Res. 1144,117,05/27/2022,Democratic,control,-0.999,0.056884057971014486
S.Res. 242,117,05/26/2021,Democratic,control,-0.9989,0.04780701754385964
S.Res. 651,117,05/26/2022,Democratic,control,-0.999,0.061231884057970996
H.R. 1454,117,03/01/2021,Democratic,control,-0.4404,0.05000000000000002
H.R. 1006,117,02/11/2021,Democratic,control,-0.9984,-0.011839826839826838
H.R. 1560,117,03/03/2021,Democratic,control,-0.9999,0.08374228395061725
H.R. 4423,117,07/13/2021,Democratic,control,-0.9988,0.03926096181046676
S. 556,117,03/03/2021,Democratic,control,-0.9999,0.08374228395061725
H.R. 3159,117,05/12/2021,Democratic,control,0.0618,0.013180952380952373
H.Res. 1165,117,06/09/2022,Democratic,control,-0.9999,0.023327548887893717
H.R. 6575,117,02/02/2022,Democratic,control,-0.9987,0.028140273704789835
H.R. 1576,117,03/03/2021,Democratic,control,-0.9989,0.07118409863945578
H.R. 5273,117,09/17/2021,Democratic,control,-0.993,0.050166666666666665
H.R. 9227,117,10/25/2022,Democratic,control,-0.9448,0.05123949579831932
H.R. 2814,117,04/22/2021,Democratic,control,-0.7174,-0.00707671957671958
H.R. 2282,117,03/29/2021,Democratic,control,-0.0191,0.07478878648233488
S. 974,117,03/25/2021,Democratic,control,-0.0191,0.08144841269841271
H.R. 825,117,02/04/2021,Democratic,control,-0.8868,0.03928571428571429
S. 281,117,02/08/2021,Democratic,control,-0.8868,0.03928571428571429
H.R. 8957,117,09/22/2022,Democratic,control,-0.9892,0.045713161297576875
H.R. 1007,117,02/11/2021,Democratic,control,-0.9664,0.04758771929824561
S. 1338,117,04/22/2021,Democratic,control,-0.6896,-0.020461309523809527
H.R. 6639,117,02/08/2022,Democratic,control,-0.4135,0.09264172335600909
H.R. 121,117,01/04/2021,Democratic,control,-0.9859,0.07500000000000001
