"Downloaded on",04/11/2024,"01:52:02 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%2C%22106%22%2C%22105%22%2C%22104%22%2C%22103%22%2C%22102%22%2C%22101%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress,Title,"Party of Sponsor","Date of Introduction"
"H.R. 7544",https://www.congress.gov/bill/117th-congress/house-bill/7544,"117th Congress (2021-2022)","To provide a private right of action against the maker of any component of a ghost gun, and any person who facilitated a sale of the ghost gun, for injury or death resulting from the use of the ghost gun.",Democratic,04/18/2022
"H.Res. 437",https://www.congress.gov/bill/117th-congress/house-resolution/437,"117th Congress (2021-2022)","Expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month"".",Democratic,05/25/2021
"H.Res. 1144",https://www.congress.gov/bill/117th-congress/house-resolution/1144,"117th Congress (2021-2022)","Expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month"".",Democratic,05/27/2022
"S.Res. 242",https://www.congress.gov/bill/117th-congress/senate-resolution/242,"117th Congress (2021-2022)","A resolution expressing support for the designation of June 4, 2021, as ""National Gun Violence Awareness Day"" and June 2021 as ""National Gun Violence Awareness Month"".",Democratic,05/26/2021
"S.Res. 651",https://www.congress.gov/bill/117th-congress/senate-resolution/651,"117th Congress (2021-2022)","A resolution expressing support for the designation of June 3, 2022, as ""National Gun Violence Awareness Day"" and June 2022 as ""National Gun Violence Awareness Month"".",Democratic,05/26/2022
"H.R. 1454",https://www.congress.gov/bill/117th-congress/house-bill/1454,"117th Congress (2021-2022)","Ghost Guns Are Guns Act",Democratic,03/01/2021
"H.R. 1006",https://www.congress.gov/bill/117th-congress/house-bill/1006,"117th Congress (2021-2022)","Gun Show Loophole Closing Act of 2021",Democratic,02/11/2021
"H.R. 1560",https://www.congress.gov/bill/117th-congress/house-bill/1560,"117th Congress (2021-2022)","Resources for Victims of Gun Violence Act of 2021",Democratic,03/03/2021
"H.R. 4423",https://www.congress.gov/bill/117th-congress/house-bill/4423,"117th Congress (2021-2022)","Gun Theft Prevention Act",Democratic,07/13/2021
"S. 556",https://www.congress.gov/bill/117th-congress/senate-bill/556,"117th Congress (2021-2022)","Resources for Victims of Gun Violence Act of 2021",Democratic,03/03/2021
"H.R. 3159",https://www.congress.gov/bill/117th-congress/house-bill/3159,"117th Congress (2021-2022)","Safer Neighborhoods Gun Buyback Act of 2021",Democratic,05/12/2021
