"Downloaded on",02/22/2024,"01:32:11 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22search%22%3A%22gun%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%2C%22115%22%2C%22114%22%2C%22113%22%2C%22112%22%2C%22111%22%2C%22110%22%2C%22109%22%2C%22108%22%2C%22107%22%5D%2C%22source%22%3A%22legislation%22%2C%22bill-status%22%3A%22all%22%7D

,"Resize row height to view Amendment Text (Latest) as Excel may have collapsed cells with large texts."

"Legislation Number",URL,Congress
"H.R. 7544",https://www.congress.gov/bill/117th-congress/house-bill/7544,"117th Congress (2021-2022)"
"H.Res. 437",https://www.congress.gov/bill/117th-congress/house-resolution/437,"117th Congress (2021-2022)"
"H.Res. 1144",https://www.congress.gov/bill/117th-congress/house-resolution/1144,"117th Congress (2021-2022)"
"S.Res. 242",https://www.congress.gov/bill/117th-congress/senate-resolution/242,"117th Congress (2021-2022)"
"S.Res. 651",https://www.congress.gov/bill/117th-congress/senate-resolution/651,"117th Congress (2021-2022)"
"H.R. 1454",https://www.congress.gov/bill/117th-congress/house-bill/1454,"117th Congress (2021-2022)"
"H.R. 1006",https://www.congress.gov/bill/117th-congress/house-bill/1006,"117th Congress (2021-2022)"
"H.R. 1560",https://www.congress.gov/bill/117th-congress/house-bill/1560,"117th Congress (2021-2022)"
"H.R. 4423",https://www.congress.gov/bill/117th-congress/house-bill/4423,"117th Congress (2021-2022)"
"S. 556",https://www.congress.gov/bill/117th-congress/senate-bill/556,"117th Congress (2021-2022)"
"H.R. 3159",https://www.congress.gov/bill/117th-congress/house-bill/3159,"117th Congress (2021-2022)"
"H.Res. 1165",https://www.congress.gov/bill/117th-congress/house-resolution/1165,"117th Congress (2021-2022)"
"H.R. 6575",https://www.congress.gov/bill/117th-congress/house-bill/6575,"117th Congress (2021-2022)"
"H.R. 1576",https://www.congress.gov/bill/117th-congress/house-bill/1576,"117th Congress (2021-2022)"
"H.R. 9624",https://www.congress.gov/bill/117th-congress/house-bill/9624,"117th Congress (2021-2022)"
"S. 5299",https://www.congress.gov/bill/117th-congress/senate-bill/5299,"117th Congress (2021-2022)"
"H.R. 5273",https://www.congress.gov/bill/117th-congress/house-bill/5273,"117th Congress (2021-2022)"
"H.R. 9227",https://www.congress.gov/bill/117th-congress/house-bill/9227,"117th Congress (2021-2022)"
"H.R. 2814",https://www.congress.gov/bill/117th-congress/house-bill/2814,"117th Congress (2021-2022)"
"H.R. 2282",https://www.congress.gov/bill/117th-congress/house-bill/2282,"117th Congress (2021-2022)"
"S. 974",https://www.congress.gov/bill/117th-congress/senate-bill/974,"117th Congress (2021-2022)"
"H.R. 825",https://www.congress.gov/bill/117th-congress/house-bill/825,"117th Congress (2021-2022)"
"S. 281",https://www.congress.gov/bill/117th-congress/senate-bill/281,"117th Congress (2021-2022)"
"H.R. 8957",https://www.congress.gov/bill/117th-congress/house-bill/8957,"117th Congress (2021-2022)"
"H.R. 1007",https://www.congress.gov/bill/117th-congress/house-bill/1007,"117th Congress (2021-2022)"
"S. 1338",https://www.congress.gov/bill/117th-congress/senate-bill/1338,"117th Congress (2021-2022)"
"H.R. 6639",https://www.congress.gov/bill/117th-congress/house-bill/6639,"117th Congress (2021-2022)"
"H.R. 121",https://www.congress.gov/bill/117th-congress/house-bill/121,"117th Congress (2021-2022)"
"H.R. 2280",https://www.congress.gov/bill/117th-congress/house-bill/2280,"117th Congress (2021-2022)"
"H.R. 137",https://www.congress.gov/bill/117th-congress/house-bill/137,"117th Congress (2021-2022)"
"H.R. 4271",https://www.congress.gov/bill/117th-congress/house-bill/4271,"117th Congress (2021-2022)"
"H.R. 167",https://www.congress.gov/bill/117th-congress/house-bill/167,"117th Congress (2021-2022)"
"S. 4238",https://www.congress.gov/bill/117th-congress/senate-bill/4238,"117th Congress (2021-2022)"
"S. 2320",https://www.congress.gov/bill/117th-congress/senate-bill/2320,"117th Congress (2021-2022)"
"H.R. 1642",https://www.congress.gov/bill/117th-congress/house-bill/1642,"117th Congress (2021-2022)"
"H.R. 5764",https://www.congress.gov/bill/117th-congress/house-bill/5764,"117th Congress (2021-2022)"
"S. 3117",https://www.congress.gov/bill/117th-congress/senate-bill/3117,"117th Congress (2021-2022)"
"H.R. 4225",https://www.congress.gov/bill/117th-congress/house-bill/4225,"117th Congress (2021-2022)"
"H.R. 5245",https://www.congress.gov/bill/117th-congress/house-bill/5245,"117th Congress (2021-2022)"
"S. 2319",https://www.congress.gov/bill/117th-congress/senate-bill/2319,"117th Congress (2021-2022)"
"H.R. 6717",https://www.congress.gov/bill/117th-congress/house-bill/6717,"117th Congress (2021-2022)"
"H.R. 6370",https://www.congress.gov/bill/117th-congress/house-bill/6370,"117th Congress (2021-2022)"
"H.Res. 1478",https://www.congress.gov/bill/117th-congress/house-resolution/1478,"117th Congress (2021-2022)"
"H.R. 545",https://www.congress.gov/bill/117th-congress/house-bill/545,"117th Congress (2021-2022)"
"S. 4376",https://www.congress.gov/bill/117th-congress/senate-bill/4376,"117th Congress (2021-2022)"
"H.R. 8278",https://www.congress.gov/bill/117th-congress/house-bill/8278,"117th Congress (2021-2022)"
"H.R. 1827",https://www.congress.gov/bill/117th-congress/house-bill/1827,"117th Congress (2021-2022)"
"S. 702",https://www.congress.gov/bill/117th-congress/senate-bill/702,"117th Congress (2021-2022)"
"H.R. 7366",https://www.congress.gov/bill/117th-congress/house-bill/7366,"117th Congress (2021-2022)"
"H.Res. 1192",https://www.congress.gov/bill/117th-congress/house-resolution/1192,"117th Congress (2021-2022)"
"H.R. 881",https://www.congress.gov/bill/117th-congress/house-bill/881,"117th Congress (2021-2022)"
"H.R. 125",https://www.congress.gov/bill/117th-congress/house-bill/125,"117th Congress (2021-2022)"
"H.R. 5436",https://www.congress.gov/bill/117th-congress/house-bill/5436,"117th Congress (2021-2022)"
"H.R. 7466",https://www.congress.gov/bill/117th-congress/house-bill/7466,"117th Congress (2021-2022)"
"S. 4029",https://www.congress.gov/bill/117th-congress/senate-bill/4029,"117th Congress (2021-2022)"
"H.R. 6950",https://www.congress.gov/bill/117th-congress/house-bill/6950,"117th Congress (2021-2022)"
"S. 1155",https://www.congress.gov/bill/117th-congress/senate-bill/1155,"117th Congress (2021-2022)"
"H.Res. 1479",https://www.congress.gov/bill/117th-congress/house-resolution/1479,"117th Congress (2021-2022)"
"H.R. 1132",https://www.congress.gov/bill/117th-congress/house-bill/1132,"117th Congress (2021-2022)"
"H.R. 9001",https://www.congress.gov/bill/117th-congress/house-bill/9001,"117th Congress (2021-2022)"
"S. 4149",https://www.congress.gov/bill/117th-congress/senate-bill/4149,"117th Congress (2021-2022)"
"H.R. 3536",https://www.congress.gov/bill/117th-congress/house-bill/3536,"117th Congress (2021-2022)"
"S. 1801",https://www.congress.gov/bill/117th-congress/senate-bill/1801,"117th Congress (2021-2022)"
"H.R. 8534",https://www.congress.gov/bill/117th-congress/house-bill/8534,"117th Congress (2021-2022)"
"H.R. 7493",https://www.congress.gov/bill/117th-congress/house-bill/7493,"117th Congress (2021-2022)"
"H.R. 5878",https://www.congress.gov/bill/117th-congress/house-bill/5878,"117th Congress (2021-2022)"
"H.R. 6817",https://www.congress.gov/bill/117th-congress/house-bill/6817,"117th Congress (2021-2022)"
"H.R. 3509",https://www.congress.gov/bill/117th-congress/house-bill/3509,"117th Congress (2021-2022)"
"S. 1825",https://www.congress.gov/bill/117th-congress/senate-bill/1825,"117th Congress (2021-2022)"
"H.R. 4804",https://www.congress.gov/bill/117th-congress/house-bill/4804,"117th Congress (2021-2022)"
"H.R. 882",https://www.congress.gov/bill/117th-congress/house-bill/882,"117th Congress (2021-2022)"
"H.R. 6945",https://www.congress.gov/bill/117th-congress/house-bill/6945,"117th Congress (2021-2022)"
"H.Res. 1153",https://www.congress.gov/bill/117th-congress/house-resolution/1153,"117th Congress (2021-2022)"
